LakeID,km2,lat,lon,LakeName,GlacierName,waterFlow,downstream,isHazard,floodhistory,futureHazard,futureHazardETA,hazardURL,summary,moreinfo
B62,0.1,60.36414834,-142.5166032,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B63,0.1,60.36414834,-142.5166032,NA,Bering Glacier,Duktoth River,NA,FALSE,NA,FALSE,,,,
B64,0.14,60.38838838,-142.5650154,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B65,0.14,60.38838838,-142.5650154,NA,Bering Glacier,NA,NA,FALSE,NA,FALSE,,,,
B66,0,60.38626491,-142.5018556,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B67,0,60.38626491,-142.5018556,NA,Bering Glacier,NA,NA,FALSE,NA,FALSE,,,,
B68,0.05,60.36680505,-142.496759,NA,Bering Glacier,Duktoth River,NA,FALSE,NA,FALSE,,,,
B69,0,60.26385252,-143.2498607,NA,Bering Glacier,Vitus Lake,NA,FALSE,NA,FALSE,,,,
B70,0.33,60.29213646,-143.2720514,NA,NA,NA,NA,FALSE,NA,FALSE,,,,
B71,0.06,60.34897402,-142.5671824,NA,Bering Glacier,Duktoth River,NA,FALSE,NA,FALSE,,,,
B72,0.3,60.35224844,-142.5357516,NA,Bering Glacier,Duktoth River,NA,FALSE,NA,FALSE,,,,
B73,1.07,60.38378562,-142.5253013,NA,Bering Glacier,NA,NA,FALSE,NA,FALSE,,,,
B74,3.2,60.10539291,-140.7067574,Oily Lake,Agassiz Glacier,NA,NA,FALSE,NA,FALSE,,,,
B75,0,60.04360878,-140.2702173,NA,Malaspina Glacier,Malaspina Lake,NA,FALSE,NA,FALSE,,,,
B76,0.24,59.63161404,-138.3624409,NA,Battle Glacier,NA,NA,FALSE,NA,FALSE,,,,
B77,0.62,60.77114804,-142.9498418,NA,Bremner Glacier,NA,NA,FALSE,NA,FALSE,,,,
B78,0.26,60.77856862,-143.8400483,NA,Wernicke Glacier,Miles Lake,NA,FALSE,NA,FALSE,,,,
B79,4.82,60.37688376,-143.5298323,NA,Steller Glacier,NA,NA,FALSE,NA,FALSE,,,,
B80,12.78,60.40757255,-143.8061254,Berg Lake,Steller Glacier,Starodubtsov Lake,NA,FALSE,NA,FALSE,,,,
B81,1.58,60.403225,-143.5505225,NA,Steller Glacier,NA,NA,FALSE,NA,FALSE,,,,
B82,0.41,61.56042399,-143.0966375,NA,Kennicott Glacier,NA,NA,FALSE,NA,FALSE,,,,
B83,0.51,60.77984788,-139.1334117,NA,Kaskawulsh Glacier,NA,NA,FALSE,NA,FALSE,,,,
B84,0.48,60.03884129,-150.4546919,NA,Tustemena Glacier,Tustemena Lake,NA,FALSE,NA,FALSE,,,,
B85,0.4,60.19984368,-149.9440871,NA,NA,Skilak Lake,NA,FALSE,NA,FALSE,,,,
B86,1.26,60.06870074,-149.6130377,Bear Lake,Bear Glacier,Bear Glacier Lagoon,NA,TRUE,"	At least one documented outburst (2018)",FALSE,,NA,NA,NA
B87,8.42,60.95875845,-152.4468923,Blockade Lake,Blockade Glacier,NA,NA,FALSE,NA,FALSE,,,,
B88,2.47,58.50118375,-136.6243493,Abyss Lake,Brady Glacier,NA,NA,FALSE,NA,FALSE,,,,
